time,temperature_2m,windspeed_10m,winddirection_10m,predicted_windspeed
2022-12-31T07:00,44.8,2.6,304,13.01190231
2022-12-31T08:00,45.2,1.8,217,14.66064571
2022-12-31T09:00,46.1,3.8,253,13.06674452
2022-12-31T10:00,46.3,2.6,56,12.36530611
2022-12-31T11:00,45.8,3.2,27,14.73668675
2022-12-31T12:00,46.6,0.4,270,13.24309111
2022-12-31T13:00,47.2,5.2,56,12.73122324
2022-12-31T14:00,49.1,2.8,140,13.45123647
2022-12-31T15:00,50.3,4.6,162,15.71191946
2022-12-31T16:00,51,2.6,164,11.18418832
2022-12-31T17:00,51.3,3.1,69,16.25579395
2022-12-31T18:00,51.8,7,78,14.12144767
2022-12-31T19:00,51.6,5.2,56,12.54721247
2022-12-31T20:00,51.3,2.5,8,12.44467263
2022-12-31T21:00,50.7,1.4,360,12.03627989
2022-12-31T22:00,50.4,4.7,90,13.78642001
2022-12-31T23:00,50.1,2.6,16,12.29318809
2023-01-01T00:00,50.1,1.5,315,15.89369593
2023-01-01T01:00,49.8,1.5,225,15.38130845
2023-01-01T02:00,50,4.9,216,13.14086302
2023-01-01T03:00,50.7,3.3,221,10.59539608
2023-01-01T04:00,52.3,8.4,223,11.88022283
2023-01-01T05:00,52.3,6.6,209,14.14417934
2023-01-01T06:00,52.2,12.2,227,12.52437689
2023-01-01T07:00,51.7,12.8,230,16.04847996
2023-01-01T08:00,50.7,11,232,13.19331505
2023-01-01T09:00,50.5,10.8,233,13.65860243
2023-01-01T10:00,49.2,9.1,236,13.14288948
2023-01-01T11:00,48.5,9.4,230,13.27125265
2023-01-01T12:00,47.5,10,240,12.80978437
2023-01-01T13:00,47.9,9.5,241,16.12982097
2023-01-01T14:00,49.8,9.4,270,9.772245449
2023-01-01T15:00,51.9,15.6,278,12.1128925
2023-01-01T16:00,52.5,21.4,287,8.153716032
2023-01-01T17:00,53.4,17.6,296,8.461439495
2023-01-01T18:00,54.5,18.9,288,12.9108953
2023-01-01T19:00,54.9,17.2,290,7.559987543
2023-01-01T20:00,54.4,15,291,13.52626428
2023-01-01T21:00,53.7,7.6,295,14.22266252
2023-01-01T22:00,50.2,5.5,337,10.31043026
2023-01-01T23:00,47.9,3.2,153,8.614898533
2023-01-02T00:00,46.6,6,237,15.66061057
